Theta2,Theta3,Theta4,Omega3,Omega4,Alpha3,Alpha4,Vel.BC,Vel.CD,Accel.BC,Accel.CD
0,330.073565133386,303.748988595889,3.75,3.75,48.1737737506286,83.2518117516344,281.25,168.75,3763.8243061945,3799.40147707683,
10,322.014367006628,294.493591283166,4.19059962753533,5.35976992851614,31.1529770581723,69.8670594880778,314.29497206515,241.189646783226,2682.12950528589,3399.40800405067,
20,313.828840070525,283.007788524383,3.87448572712041,5.95127925549935,8.43056343187695,44.2686306633458,290.586429534031,267.807566497471,1291.27202855151,2551.1971602749,
30,306.883915458804,271.267537198402,3.01147366129373,5.68261850256662,7.78524751007522,24.0854925159588,225.860524597029,255.717832615498,896.419004506003,1812.83218985643,
40,301.899425395839,260.552553019516,1.96829988527112,4.99544963037067,15.9855616159291,12.8290156723225,147.622491395334,224.79523336668,1233.62493334222,1262.65827271706,
50,298.967069162249,251.346001272442,0.985508460524724,4.21176938313526,19.2320380949087,7.39007277865893,73.9131345393543,189.529622241086,1444.24096397298,864.755931924256,
60,297.852275711415,243.668349283999,0.157802603329788,3.48040995692549,20.1469514344508,4.73603541601956,11.8351952497341,156.618448061647,1511.02251177676,585.27848552865,
